node_id,lat,lon,location,"lat,lon"
3595142839,5.6452538,-0.1877648,,"5.6452538,-0.1877648"
1986177693,5.6540172,-0.1834747,,"5.6540172,-0.1834747"
3595142838,5.6452573,-0.1858701,,"5.6452573,-0.1858701"
6009981639,5.6488651,-0.183392,,"5.6488651,-0.183392"
6285310883,5.6558243,-0.1814756,,"5.6558243,-0.1814756"
6012773222,5.6465289,-0.1969492,,"5.6465289,-0.1969492"
6012773221,5.6462066,-0.1969881,,"5.6462066,-0.1969881"
10718542804,5.6515696,-0.1890761,,"5.6515696,-0.1890761"
6763897379,5.6521864,-0.1813641,Museum of Archaelogy,"5.6521864,-0.1813641"
3971492275,5.6498697,-0.1953414,,"5.6498697,-0.1953414"
6763897380,5.6521969,-0.1815265,,"5.6521969,-0.1815265"
10718542803,5.6515509,-0.1888852,,"5.6515509,-0.1888852"
10718542802,5.650925,-0.1889361,,"5.650925,-0.1889361"
5751454657,5.6500676,-0.1857819,,"5.6500676,-0.1857819"
6544430853,5.647945,-0.1841238,,"5.647945,-0.1841238"
10718542797,5.650766,-0.188082,Faculty of Arts and Languages,"5.650766,-0.188082"
10660967010,5.6468258,-0.1819342,,"5.6468258,-0.1819342"
6544430855,5.6473887,-0.1841608,,"5.6473887,-0.1841608"
6720802180,5.6484665,-0.1947959,,"5.6484665,-0.1947959"
10660967009,5.6502084,-0.1824756,Soil Science,"5.6502084,-0.1824756"
6544430854,5.6481411,-0.1841978,,"5.6481411,-0.1841978"
5751454661,5.6486055,-0.1856786,,"5.6486055,-0.1856786"
5751454660,5.6481624,-0.1856813,Akuafo Hall Main,"5.6481624,-0.1856813"
6720802179,5.6477597,-0.1936988,,"5.6477597,-0.1936988"
10660967014,5.6479262,-0.1811832,,"5.6479262,-0.1811832"
5751454662,5.6499668,-0.1856706,,"5.6499668,-0.1856706"
10660967019,5.6487936,-0.1813,,"5.6487936,-0.1813"
10660967017,5.648392,-0.1811564,,"5.648392,-0.1811564"
5751454666,5.6502014,-0.1856655,,"5.6502014,-0.1856655"
6720802184,5.6485551,-0.1950451,,"5.6485551,-0.1950451"
3425614092,5.659527,-0.1870094,,"5.659527,-0.1870094"
9665171761,5.6534336,-0.1910994,Graduate School,"5.6534336,-0.1910994"
3425614089,5.6589186,-0.1815021,,"5.6589186,-0.1815021"
4457235594,5.6531854,-0.1897007,,"5.6531854,-0.1897007"
3425614084,5.6582661,-0.1824233,Pent Block B,"5.6582661,-0.1824233"
3425614085,5.6583036,-0.1814819,,"5.6583036,-0.1814819"
3425614082,5.6577114,-0.1805114,,"5.6577114,-0.1805114"
3425614080,5.6576762,-0.1814547,,"5.6576762,-0.1814547"
10660967005,5.6505431,-0.1821503,,"5.6505431,-0.1821503"
3425614081,5.6576614,-0.1838139,,"5.6576614,-0.1838139"
6245823862,5.650552,-0.187845,,"5.650552,-0.187845"
6720839076,5.6452513,-0.1873165,Mensah Sarbah Hall,"5.6452513,-0.1873165"
6720839077,5.644781,-0.1877669,,"5.644781,-0.1877669"
6763953695,5.6557019,-0.1876689,Information Studies Labs,"5.6557019,-0.1876689"
6009981696,5.6467003,-0.1866238,,"5.6467003,-0.1866238"
6720839084,5.6440656,-0.1871879,,"5.6440656,-0.1871879"
6285310879,5.6559515,-0.1814754,,"5.6559515,-0.1814754"
1159580706,5.6426945,-0.1899433,,"5.6426945,-0.1899433"
6763953687,5.6545046,-0.1876851,Social Work Department,"5.6545046,-0.1876851"
6009981816,5.6474217,-0.1813898,,"5.6474217,-0.1813898"
3043832877,5.6505573,-0.1839512,,"5.6505573,-0.1839512"
3043832876,5.6505544,-0.1903705,Bacchus Garden,"5.6505544,-0.1903705"
6009981817,5.6479048,-0.1813911,,"5.6479048,-0.1813911"
